id ,gender,state               ,car_make     ,car_model      ,car_year,previous_rent_times
89 ,Female,District of Columbia,Lamborghini  ,Gallardo       ,2007    ,91
90 ,Female,Arkansas            ,Ford         ,Tempo          ,1988    ,17
91 ,Male  ,California          ,Suzuki       ,Swift          ,1989    ,96
92 ,Male  ,Ohio                ,Mitsubishi   ,Galant         ,1993    ,98
93 ,Female,District of Columbia,GMC          ,Jimmy          ,1995    ,13
94 ,Male  ,Texas               ,BMW          ,3 Series       ,1992    ,83
95 ,Female,Tennessee           ,Ford         ,E350           ,2012    ,67
96 ,Male  ,Utah                ,Lexus        ,LS             ,1998    ,42
97 ,Male  ,District of Columbia,Isuzu        ,Amigo          ,1994    ,93
98 ,Female,Georgia             ,Oldsmobile   ,Bravada        ,1999    ,49
99 ,Female,Florida             ,Buick        ,Rendezvous     ,2005    ,8
100,Female,Indiana             ,Mercedes-Benz,CL-Class       ,2000    ,61
